"Nombre corto","Nombre","Año","Categoría","DOCENTE VIRTUAL","DOCENTE PRACTICO","Teórico Virtual (inicio)","Teórico Virtual (fin)","Instancia Presencial (inicio)","Presencial (fin)","Programado ","Mes","CET","ESTADO","Coordinador TRA","Observaciones","UTE Ó UTU","Relizado","Inscriptos","Modificado","Modificado por"
"COSEP","Componentes y configuraciones del SEP",,,"[""A. GATTO"",""A. MUSETTI""]","[""A. GATTO"",""A. MUSETTI""]","18/06/2024","20/06/2024",,,"Verdadero","Junio 2024","[""Melilla"",""Virtual""]","INSCRIPCIONES REALIZADAS","[""A.Gatto""]","Depende de la revisión del curso. Validación.","UTE","False",,"03/06/2024 8:10","Torrado Lima, Yamila Natali"
"TEAMB","Tarea en Altura Módulo Base",,,"[""M. ROMERO"",""TECNICO SYSO""]",,"20/03/2024","21/03/2024",,,"Verdadero","Marzo 2024","[""Virtual""]","CURSO REALIZADO","[""M. Romero""]",,"UTE","False",,"22/03/2024 5:58","Patrone, Federico"
"MPQ","Manejo de Productos Quimicos",,,,,"22/05/2024","22/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","8:30 a 12:30","UTE","False",,"24/05/2024 9:49","Patrone, Federico"
"GAMXA","Gestión de Activos IBM MX Admin.",,,"[""E. MACHADO""]",,"06/08/2024","08/08/2024",,,"Verdadero","Agosto 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","Asistencia obligatoria. 100% online. Instancias 6, 7 Y 8 de agosto","UTE","False",,"12/08/2024 4:16","Patrone, Federico"
"GAMXM","Gestión de Activos IBM MX Mtto.",,,"[""E. MACHADO""]",,"13/08/2024","27/08/2024",,,"Verdadero","Agosto 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","13 de Agosto primer clase de asistencia obligatoria. 100% online. 27 de Agosto clase de consulta. Podrán realizar la prueba final hasta las 23:59hs del último día del curso (28 de Agosto)","UTE","False",,"16/08/2024 10:33","Camarri Cabrera, Angela Abigail"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""J. BRIOSSO""]",,,"02/04/2024","02/04/2024","Verdadero","Abril 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"04/04/2024 10:11","Iguini Gargiullo, Mateo"
"INSEP","Introducción al SEP",,,"[""M. TRECCA"",""J.BARATTINI""]",,"19/04/2024","23/04/2024",,,"Verdadero","Abril 2024","[""Virtual""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"24/04/2024 9:15","Patrone, Federico"
"TCES2","Trabajo en Condiciones Eléctricamente Seguras Modulo 2",,,,"[""E. VARELA"",""José LAUZ""]",,,"23/04/2024","24/04/2024","Verdadero","Abril 2024","[""Melilla""]","CURSO REALIZADO","[""R. Graña""]",,"UTE","False",,"24/04/2024 9:06","Patrone, Federico"
"TCES1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,,"[""A. MUSETTI"",""R. TORRES""]",,,"25/04/2024","26/04/2024","Verdadero","Abril 2024","[""Melilla""]","INSCRIPCIONES REALIZADAS","[""R. Graña""]",,"UTE","False",,"22/04/2024 5:17","Graña Estevez, Rosana"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""M. PAEZ""]",,,"27/08/2024","27/08/2024","Verdadero","Agosto 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""Y.Torrado"",""A. Camarri""]",,"UTE","False",,"30/08/2024 7:39","Patrone, Federico"
