"Nombre corto","Nombre","Año","Categoría","DOCENTE VIRTUAL","DOCENTE PRACTICO","Teórico Virtual (inicio)","Teórico Virtual (fin)","Instancia Presencial (inicio)","Presencial (fin)","Programado ","Mes","CET","ESTADO","Coordinador TRA","Observaciones","UTE Ó UTU","Relizado","Inscriptos","Modificado","Modificado por"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""I. PONCE"",""G. CHARBONNIER""]",,"02/09/2024","04/09/2024",,,"Verdadero","Setiembre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]","Modifico instructores por correo de G. Charbonnier","UTE","False",,"04/09/2024 5:50","Camarri Cabrera, Angela Abigail"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""S. ROSAS"",""R. TORRES""]",,"23/09/2024","24/09/2024",,,"Verdadero","Setiembre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"25/09/2024 4:43","Patrone, Federico"
"TERM1","Termografia Módulo 1",,,"[""D. LUBENKO"",""GATTO""]","[""D. LUBENKO"",""A. GATTO""]","11/11/2024","12/11/2024","14/11/2024","15/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]","Ultima instancia ","UTE","False",,"12/11/2024 4:46","Camarri Cabrera, Angela Abigail"
"INSEP","Introducción al SEP",,,"[""M. TRECCA"",""J.BARATTINI"",""A. GATTO""]",,"26/09/2024","27/09/2024",,,"Verdadero","Setiembre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"04/10/2024 11:49","Patrone, Federico"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""A. GATTO"",""J. PLACERES""]","[""A. GATTO"",""J. PLACERES""]","14/10/2024","15/10/2024","17/10/2024","17/10/2024","Verdadero","Octubre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"29/10/2024 4:54","Patrone, Federico"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""A. GATTO"",""G. CHARBONNIER""]","[""A. GATTO"",""G. CHARBONNIER""]","21/10/2024","22/10/2024","24/10/2024","24/10/2024","Verdadero","Octubre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto""]",,"UTE","Verdadero",,"31/10/2024 4:28","Patrone, Federico"
"TREDB","Trabajo Colaborativo en Red Básico",,,,"[""K. OLIVERA""]",,,"04/10/2024","04/10/2024","Verdadero","Octubre 2024","[""Rondeau""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"08/10/2024 8:05","Patrone, Federico"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""I.PONCE"",""M. ROMERO""]",,"07/10/2024","08/10/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca""]",,"UTE","False",,"09/10/2024 4:26","Romero Ramirez, Diego Miguel"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""A. GATTO"",""I. PONCE"",""J. PLACERES""]",,"29/10/2024","30/10/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","Verdadero",,"31/10/2024 4:29","Patrone, Federico"
"REALV","Reconocimiento Virtual de SSEE de AT",,,,"[""E. MACHADO"",""M. GLOODTDOFSKY""]",,,"03/12/2024","03/12/2024","Verdadero","Diciembre 2024","[""Leguizamón""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"03/12/2024 3:27","Camarri Cabrera, Angela Abigail"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""E. VARELA"",""J.BARATTINI""]","[""J.BARATTINI"",""E. VARELA""]","11/11/2024","12/11/2024","14/11/2024","14/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""M. Romero"",""A. Camarri""]",,"UTE","False",,"12/11/2024 4:46","Camarri Cabrera, Angela Abigail"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""M. ROMERO"",""J.BARATTINI""]","[""M. ROMERO"",""J.BARATTINI""]","18/11/2024","19/11/2024","21/11/2024","21/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Melilla""]","INSCRIPCIONES REALIZADAS","[""M. Romero"",""A. Camarri""]",,"UTE","False",,"05/11/2024 10:23","Patrone, Federico"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""A. GATTO""]","[""A. GATTO""]","26/11/2024","27/11/2024","29/11/2024","29/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Melilla""]","SUSPENDIDO","[""A.Gatto""]",,"UTE","False",,"15/11/2024 3:43","Camarri Cabrera, Angela Abigail"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""M. ROMERO"",""R. VELOZ""]","[""A. GATTO"",""R. VELOZ""]","02/12/2024","03/12/2024","05/12/2024","05/12/2024","Verdadero","Diciembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto""]",,"UTE","False",,"03/12/2024 8:22","Camarri Cabrera, Angela Abigail"
"EDMYC","Equipos de Maniobras y Corte",,,"[""A. GATTO"",""R. RODRIGUEZ""]","[""A. GATTO"",""R. RODRIGUEZ""]","04/11/2024","06/11/2024","08/11/2024","08/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Melilla""]","SUSPENDIDO","[""A.Gatto"",""A. Camarri""]","Ultima instancia","UTE","False",,"04/11/2024 3:48","Rodriguez, Robinson"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""M. MENDIZABAL""]",,,"04/04/2024","04/04/2024","Verdadero","Abril 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"05/04/2024 6:38","Iguini Gargiullo, Mateo"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""J. BRIOSSO""]",,,"05/04/2024","05/04/2024","Verdadero","Abril 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"10/04/2024 4:04","Iguini Gargiullo, Mateo"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""M.BITANCOURT""]",,,"30/04/2024","30/04/2024","Verdadero","Abril 2024","[""Punta del Tigre""]","INSCRIPCIONES REALIZADAS","[""M. Iguini""]",,"UTE","False",,"24/04/2024 9:09","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""J. BRIOSSO""]",,,"29/05/2024","29/05/2024","Verdadero","Mayo 2024","[""Bonete""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"29/05/2024 11:35","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""F. AROCHA""]",,,"30/05/2024","30/05/2024","Verdadero","Mayo 2024","[""Bonete""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"03/06/2024 4:32","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""F. AROCHA""]",,,"31/05/2024","31/05/2024","Verdadero","Mayo 2024","[""Bonete""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"03/06/2024 4:32","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""M. PAEZ""]",,,"28/08/2024","28/08/2024","Verdadero","Agosto 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""Y.Torrado"",""A. Camarri""]",,"UTE","False",,"30/08/2024 7:40","Patrone, Federico"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""I.PONCE"",""M. ROMERO"",""R. RODRIGUEZ""]",,"12/11/2024","13/11/2024",,,"Verdadero","Noviembre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca""]",,"UTE","False",,"12/11/2024 4:46","Camarri Cabrera, Angela Abigail"
"COSEP","Componentes y configuraciones del SEP",,,"[""A. GATTO"",""A. MUSETTI""]","[""A. GATTO"",""A. MUSETTI""]","16/04/2024","17/04/2024","18/04/2024","18/04/2024","Verdadero","Abril 2024","[""Melilla"",""Virtual""]","CURSO REALIZADO","[""M. Iguini""]","EL curso lo coordina DESPACHO, y si sobran cupos van para TRA","UTE","False",,"24/04/2024 9:11","Patrone, Federico"
"TEAM5","Tarea en Altura Torres",,,"[""TECNICO SYSO"",""M. MENDIZABAL""]","[""M. MENDIZABAL"",""R. FIGUEIRA""]","15/04/2024","15/04/2024","17/04/2024","18/04/2024","Verdadero","Abril 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""R. Graña""]","Por concurso","UTE","False",,"24/04/2024 9:11","Patrone, Federico"
"EAVHL","Entrenamiento Avanzado de Vehículos Livianos",,,,,"09/04/2024","09/04/2024","12/04/2024","12/04/2024","Verdadero","Abril 2024","[""Virtual"",""A definir""]","CURSO REALIZADO","[""R. Graña""]","Requisitos excluyentes:
  Libreta de conducir al día (A, B, C, D, E o F).
  Psicofísico al día.
  Chequeo para manejo para flota pesada realizado en Medicina Laboral (al día).
  Estar registrado en SG Transporte para el transporte de VEHICULOS LIVIANOS (http://wappvs/cHOFERES/Solicitudes.aspx)

Modalidad de dictado:
  1er día de curso: a distancia por Zoom de 8:00 a 12:00 (teórico).
  2do día de curso: presencial en el centro de capacitación Luz Verde (Río Negro 1310, Montevideo) a partir de las 8:00, con una duración aproximada del práctico de 30 min.","UTE","False",,"22/04/2024 5:20","Graña Estevez, Rosana"
"EAVHL","Entrenamiento Avanzado de Vehículos Livianos",,,,,"03/04/2024","03/04/2024","04/04/2024","04/04/2024","Verdadero","Abril 2024","[""Virtual"",""A definir""]","CURSO REALIZADO",,,"UTE","False",,"10/04/2024 4:03","Iguini Gargiullo, Mateo"
"EAVHL","Entrenamiento Avanzado de Vehículos Livianos",,,,,"17/04/2024","17/04/2024","19/04/2024","19/04/2024","Verdadero","Abril 2024","[""Virtual"",""A definir""]","CURSO REALIZADO","[""R. Graña""]","Requisitos excluyentes:
  Libreta de conducir al día (A, B, C, D, E o F).
  Psicofísico al día.
  Chequeo para manejo para flota pesada realizado en Medicina Laboral (al día).
  Estar registrado en SG Transporte para el transporte de VEHICULOS LIVIANOS (http://wappvs/cHOFERES/Solicitudes.aspx)

Modalidad de dictado:
  1er día de curso: a distancia por Zoom de 8:00 a 12:00 (teórico).
  2do día de curso: presencial en el centro de capacitación Luz Verde (Río Negro 1310, Montevideo) a partir de las 8:00, con una duración aproximada del práctico de 30 min.","UTE","False",,"24/04/2024 9:14","Patrone, Federico"
"EAVHP","Entrenamiento Avanzado de Vehículos Pesados",,,,,"12/03/2024","12/03/2024","13/03/2024","13/03/2024","Verdadero","Marzo 2024","[""Virtual"",""A definir""]","CURSO REALIZADO",,,"UTE","Verdadero",,"03/04/2024 4:29","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO""]",,,,,,"False",,,,,,,"False",,"09/04/2024 7:22","Romero Ramirez, Diego Miguel"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO"",""TECNICO SYSO""]",,"14/05/2024","15/05/2024",,,"Verdadero","Mayo 2024",,"CURSO REALIZADO","[""R. Graña""]","Para DNC","UTE","False",,"24/05/2024 9:48","Patrone, Federico"
"OMCMT","Operación, Maniobra y Accionamiento de Celdas ZS2",,,,,,,"23/04/2024","25/04/2024","Verdadero","Abril 2024","[""A definir""]","CURSO REALIZADO","[""R. Graña""]","Se dicta en Paysandú","UTE","False",,"24/04/2024 9:09","Patrone, Federico"
"COSEP","Componentes y configuraciones del SEP",,,"[""R. RODRIGUEZ""]",,"27/05/2024","28/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez""]",,"UTU","False",,"03/06/2024 4:29","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""R. RODRIGUEZ""]",,"30/05/2024","31/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez""]",,"UTU","False",,"03/06/2024 4:30","Patrone, Federico"
"TEAM7","Tarea en Altura en Equipos de Potencia",,,,"[""A. GATTO""]",,,"29/05/2024","29/05/2024","Verdadero","Mayo 2024","[""Melilla""]","CURSO REALIZADO","[""A.Gatto""]",,"UTU","False",,"03/06/2024 4:30","Patrone, Federico"
"TCES1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,,"[""R. RODRIGUEZ"",""A. GATTO""]",,,"05/06/2024","06/06/2024","Verdadero","Junio 2024","[""Paso de los Toros""]","CURSO REALIZADO",,,"UTU","False",,"02/09/2024 10:09","Patrone, Federico"
"TEAMB","Tarea en Altura Módulo Base",,,"[""A. GATTO""]",,"07/05/2024","09/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO",,,"UTU","False",,"13/05/2024 8:50","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""R. RODRIGUEZ""]",,"21/05/2024","22/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]",,,"False",,"24/05/2024 9:49","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""V. OLIVERA"",""M. BITANCOURT""]",,,"12/06/2024","12/06/2024","Verdadero","Junio 2024",,"CURSO REALIZADO","[""Y.Torrado""]","Para CRO","UTE","False",,"17/06/2024 10:01","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""V. OLIVERA"",""M. BITANCOURT""]",,,"13/06/2024","13/06/2024","Verdadero","Junio 2024",,"CURSO REALIZADO","[""Y.Torrado""]","Para CRO","UTE","False",,"17/06/2024 10:01","Patrone, Federico"
"GIEUBAS","Gestión de Incidencias perfil nivel Basico",,,"[""G. MENDOZA"",""E. MACHADO""]",,,,"10/06/2024","10/06/2024","Verdadero","Junio 2024","[""Rondeau""]","CURSO REALIZADO","[""F.Patrone""]",,"UTE","False",,"17/06/2024 10:03","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO"",""TECNICO SYSO""]","[""M. ROMERO"",""J.BARATTINI""]","15/07/2024","16/07/2024","29/07/2024","30/07/2024","Verdadero","Julio 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO",,"CURSANDO","UTU","False",,"30/07/2024 11:08","Romero Ramirez, Diego Miguel"
"EDMYC","Equipos de Maniobras y Corte",,,"[""R. RODRIGUEZ"",""M. ROMERO""]","[""R. RODRIGUEZ"",""M. ROMERO""]","17/07/2024","23/07/2024","24/07/2024","24/07/2024","Verdadero","Julio 2024","[""Melilla""]","CURSO REALIZADO",,,"UTU","False",,"24/07/2024 11:33","Romero Ramirez, Diego Miguel"
"EDMYC","Equipos de Maniobras y Corte",,,,"[""A. GATTO""]",,,"28/06/2024","28/06/2024","Verdadero","Junio 2024","[""Paso de los Toros""]","GESTIÓN EXTERNA",,,"UTU","False",,"14/06/2024 6:51","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""TECNICO SYSO"",""R. RODRIGUEZ"",""M. ROMERO""]",,"16/08/2024","21/08/2024",,,"Verdadero","Agosto 2024","[""Virtual""]","CURSO REALIZADO",,"Se dictan los días 16 (M. ROMERO) y 21 (R. RODRIGUEZ). Ultima instancia.","UTU","False",,"23/08/2024 5:08","Patrone, Federico"
"TEAM7","Tarea en altura Equipos de Potencia",,,,"[""PROF. UTU"",""A. GATTO""]",,,"18/10/2024","18/10/2024","Verdadero","Octubre 2024","[""Paso de los Toros""]","CURSO REALIZADO",,,"UTU","Verdadero",,"31/10/2024 4:24","Patrone, Federico"
"TEAM5","Tarea en Altura Torres",,,,"[""R. FIGUEIRA"",""Prof. UTU""]","06/11/2024","06/11/2024","07/11/2024","08/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Paso de los Toros""]","GESTIÓN EXTERNA",,,"UTU","False",,"18/06/2024 4:42","Romero Ramirez, Diego Miguel"
"EDMYC","Equipos de Maniobras y Corte",,,,"[""Prof. UTU"",""M. ROMERO""]",,,"13/09/2024","13/09/2024","Verdadero","Setiembre 2024","[""Paso de los Toros""]","CURSO REALIZADO",,,"UTU","False",,"16/09/2024 3:52","Romero Ramirez, Diego Miguel"
"TEAM5","Tarea en Altura Torres",,,"[""M. MENDIZABAL"",""TECNICO SYSO""]","[""P. CENTURIÓN"",""Prof. UTU""]","23/09/2024","23/09/2024","24/09/2024","25/09/2024","Verdadero","Setiembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO",,,"UTU","False",,"25/09/2024 4:44","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,,,,"14/06/2024","14/06/2024","Verdadero","Junio 2024",,"CURSO REALIZADO","[""Y.Torrado""]",,"UTE","Verdadero",,"17/06/2024 10:02","Patrone, Federico"
"TEAM5","Tarea en Altura Torres",,,,"[""W. COSTA"",""Prof. UTU""]","27/11/2024","27/11/2024","28/11/2024","29/11/2024","False","Noviembre 2024","[""Virtual"",""Paso de los Toros""]","A CONFIRMAR","[""M. Romero""]","Única instancia","UTU","False",,"27/08/2024 6:04","Camarri Cabrera, Angela Abigail"
"TERM1","Termografia Módulo 1",,,"[""R. RODRIGUEZ"",""D. LUBENKO""]","[""R. RODRIGUEZ"",""D. LUBENKO""]","08/08/2024","09/08/2024","13/08/2024","14/08/2024","Verdadero","Agosto 2024","[""Virtual"",""A definir""]","CURSO REALIZADO","[""A. Camarri""]","Este curso se realiza a solicitud del CRT Este, por motivos de cantidad de personal y mantenimiento programado se nos solicita que se realice la prueba práctica en Melo","UTE","False",,"14/08/2024 6:39","Patrone, Federico"
"TCESB+TCES1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,"[""TECNICO SYSO"",""A. MUSETTI""]","[""M. ROMERO"",""R. RODRIGUEZ""]","23/07/2024","24/07/2024","05/08/2024","06/08/2024","Verdadero","Julio 2024","[""Melilla""]","CURSO REALIZADO","[""M. Romero""]","PARA GEN","UTE","False",,"02/09/2024 10:10","Patrone, Federico"
"TCESB+TCES1","Trabajo en Condiciones Electricamente Seguras Base",,,"[""TECNICO SYSO"",""R. TORRES""]","[""A. MUSETTI"",""A. GATTO""]","07/08/2024","08/08/2024","12/08/2024","13/08/2024","Verdadero","Agosto 2024","[""Melilla""]","CURSO REALIZADO","[""M. Romero""]","PARA GEN","GEN","False",,"02/09/2024 10:10","Patrone, Federico"
" TCESB+TCES1","Trabajo en Condiciones Electricamente Seguras Base",,,"[""TECNICO SYSO"",""A. MUSETTI""]",,"23/07/2024","24/07/2024","30/07/2024","31/07/2024","False","Junio 2024","[""Virtual"",""Melilla""]","CONFIRMADO INSTRUCTOR","[""M. Romero""]","Para GEN. Correo enviado a Mayra Pino confirmando instructores.",,"False",,"02/09/2024 10:10","Patrone, Federico"
"LINEMM1","Línea de Emergencia Módulo 1 (LAT)",,,"[""A. ESTRADET"",""R. ABARACON""]","[""A. ESTRADET"",""R. ABARACON""]",,,"02/09/2024","13/09/2024","Verdadero","Setiembre 2024","[""A definir""]","CURSO REALIZADO","[""Y.Torrado""]","Validación del curso y curso en sí. ","UTE","False",,"19/09/2024 5:36","Camarri Cabrera, Angela Abigail"
"TEAM7","Tarea en altura Equipos de Potencia",,,,"[""M. ROMERO"",""M. MENDIZABAL""]",,,"23/08/2024","23/08/2024","Verdadero","Agosto 2024","[""Melilla""]","CURSO REALIZADO","[""M. Romero"",""A. Camarri""]",,"UTE","False",,"23/08/2024 5:22","Patrone, Federico"
"TEAM5","Tarea en Altura Torres",,,"[""M. MENDIZABAL""]","[""M. MENDIZABAL""]","29/07/2024","29/07/2024","30/07/2024","31/07/2024","Verdadero","Julio 2024","[""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]","Para TCT","UTE","False",,"07/08/2024 3:51","Patrone, Federico"
"IDPLA","Interpretación de Planos",,,"[""J. BRIOSSO"",""G. MENDEZ""]","[""J. BRIOSSO"",""G.MENDEZ""]","14/10/2024","16/10/2024","17/10/2024","18/10/2024","Verdadero","Octubre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""J.Barattini"",""A. Camarri""]","Ultima instancia del año","UTE","Verdadero",,"31/10/2024 4:27","Patrone, Federico"
"TEAM7","Tarea en altura Equipos de Potencia",,,,"[""M. ROMERO"",""E. VARELA""]",,,"22/10/2024","22/10/2024","Verdadero","Octubre 2024","[""Melilla""]","CURSO REALIZADO","[""A. Camarri"",""M. Romero""]","
Mendizabal puede participar si arregla detalles laborales
Se confirma a Varela.","UTE","False",,"24/10/2024 4:38","Romero Ramirez, Diego Miguel"
"TCESB+TCES1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,"[""A. MUSETTI"",""TECNICO SYSO""]","[""M. ROMERO"",""A. MUSETTI""]","19/08/2024","20/08/2024","27/08/2024","28/08/2024","Verdadero","Agosto 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""M. Romero""]","CURSO PARA GEN COORDINA TODO FORMACIÓN","GEN","False",,"02/09/2024 10:11","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""E. VARELA"",""TECNICO SYSO""]",,"07/08/2024","08/08/2024",,,"Verdadero","Agosto 2024","[""Virtual""]","CURSO REALIZADO","[""M. Romero""]","PARA GEN COORDINA TODO FORMACIÓN","GEN","False",,"02/09/2024 10:11","Patrone, Federico"
"TCES1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,,"[""E. VARELA"",""A. MUSETTI"",""A. GATTO""]",,,"12/09/2024","13/09/2024","Verdadero","Setiembre 2024","[""Melilla""]","CURSO REALIZADO",,"Para GEN","GEN","False",,"20/09/2024 5:15","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO"",""TECNICO SYSO""]",,"26/09/2024","27/09/2024",,,"Verdadero","Setiembre 2024","[""Virtual""]","CURSO REALIZADO",,"Para GEN",,"False",,"04/10/2024 11:50","Patrone, Federico"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""A. GATTO"",""S. SANTANA""]","[""A. GATTO"",""S. SANTANA""]","09/12/2024","10/12/2024","17/12/2024","17/12/2024","Verdadero","Diciembre 2024","[""Virtual"",""Melilla""]","SUSPENDIDO","[""A.Gatto""]",,"UTE","False",,"13/12/2024 4:47","Camarri Cabrera, Angela Abigail"
"TCES1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,,"[""E. VARELA""]",,,"22/08/2024","23/08/2024","Verdadero","Agosto 2024","[""Paso de los Toros""]","CURSO REALIZADO",,,"UTU","Verdadero",,"26/08/2024 4:36","Patrone, Federico"
"TERM1","Termografia Módulo 1",,,"[""R. RODRIGUEZ"",""BATCH MATEO""]","[""R. RODRIGUEZ"",""BATCH MATEO""]","02/12/2024","03/12/2024","05/12/2024","06/12/2024","Verdadero","Diciembre 2024","[""Paso de los Toros""]","CURSO REALIZADO","[""R.Rodriguez""]","7 cupos para Generación.  
","GEN","False",,"11/12/2024 5:18","Rodriguez, Robinson"
"TCESM1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,,"[""M. ROMERO"",""R. RODRIGUEZ"",""A. MUSETTI""]",,,"01/10/2024","02/10/2024","Verdadero","Octubre 2024","[""Melilla""]","CURSO REALIZADO","[""M. Romero""]",,"GEN","False",,"03/10/2024 4:09","Romero Ramirez, Diego Miguel"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""R. RODRIGUEZ""]",,"07/10/2024","08/10/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","SUSPENDIDO","[""M. Romero""]","Para AYS y TIC","UTE","False",,"07/10/2024 7:01","Patrone, Federico"
"TCESB+TCES1","Trabajo en Condiciones Electricamente Seguras Base",,,"[""A. GATTO""]","[""A. GATTO""]",,,,,"False",,,,,,,"False",,"20/09/2024 5:50","Patrone, Federico"
"TCESB+TCES1","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO"",""TECNICO SYSO""]","[""M. ROMERO"",""E. VARELA""]","25/11/2024","26/11/2024","28/11/2024","29/11/2024","Verdadero","Noviembre 2024","[""Virtual"",""Melilla""]","INSCRIPCIONES REALIZADAS","[""M. Romero"",""A. Camarri""]",,"UTE","False",,"25/11/2024 6:13","Romero Ramirez, Diego Miguel"
"COSEP","Componentes y configuraciones del SEP",,,"[""R. RODRIGUEZ""]",,"17/10/2024","04/11/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","Acreditación de saberes del curso CSEPTRA (ex COSEP).
17/10 - Reunión inicial a las 10:00 hs
04/11 - Evaluación a las 9:00 hs

38 participantes","UTE","False",,"05/11/2024 10:21","Patrone, Federico"
"EDMYC","Equipos de Maniobras y Corte",,,"[""R. RODRIGUEZ""]",,"17/10/2024","04/11/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","Acreditación de saberes del curso EDMYC
17/10 - Reunión inicial a las 13:00 hs
04/11 - Evaluación a las 13:00 hs

27 participantes","UTE","False",,"05/11/2024 10:22","Patrone, Federico"
"INSEP","Introducción al SEP",,,"[""M. TRECCA""]",,"01/11/2024","29/11/2024",,,"Verdadero","Noviembre 2024","[""Virtual""]","INSCRIPCIONES REALIZADAS","[""A. Camarri""]","Acreditación de saberes del curso INSEP
01/11 - Reunión inicial a las 10:00 hs
29/11 - Evaluación a las 9:00 hs

27 participantes","UTE","False",,"11/10/2024 6:18","Patrone, Federico"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""M. TRECCA""]",,"01/11/2024","29/11/2024",,,"Verdadero","Noviembre 2024","[""Virtual""]","INSCRIPCIONES REALIZADAS","[""A. Camarri""]","Acreditación de saberes del curso TPYRRMB (ex RRYTP)
01/11 - Reunión inicial a las 13:00 hs
29/11 - Evaluación a las 13:00 hs

15 participantes","UTE","False",,"11/10/2024 6:18","Patrone, Federico"
"TEAMB","Tarea en Altura Módulo Base",,,"[""M. ROMERO"",""TECNICO SYSO""]",,"14/10/2024","15/10/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","CURSO REALIZADO","[""M. Romero"",""A. Camarri""]",,"UTE","False",,"16/10/2024 3:44","Romero Ramirez, Diego Miguel"
"RRII","Taller Gestionar Personas",,,,"[""E. SANCHEZ""]",,,"07/11/2024","07/11/2024","Verdadero","Noviembre 2024","[""A definir""]","CURSO REALIZADO","[""A. Camarri""]","Primera instancia 31/10. Segunda 07/11. Dictado por Relaciones Internas ","UTE","False",,"01/11/2024 7:30","Camarri Cabrera, Angela Abigail"
"TECESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO"",""TECNICO SYSO""]","[""A. GATTO"",""R. TORRES""]","06/11/2024","07/11/2024","19/11/2024","20/11/2024","Verdadero","Noviembre 2024","[""Melilla""]","CONFIRMADO INSTRUC. Y CET",,"Curso para TRAYECTO, cambia de fecha. Miguel re programa.
TEÓRICO REALIZADO.","UTE","False",,"08/11/2024 2:38","Romero Ramirez, Diego Miguel"
"TPYRR","Trasformadores y Reactores de Potencia MB",,,"[""M. ROMERO"",""R. RODRIGUEZ""]",,"20/11/2024","22/11/2024",,,"Verdadero","Noviembre 2024","[""Virtual""]","INSCRIPCIONES REALIZADAS","[""M.Trecca""]","20 y 22/11","UTE","False",,"18/11/2024 9:43","Camarri Cabrera, Angela Abigail"
